"Teilt sich R+F-Artikel";"R+F-Bezeichnung";"GUT-Nummer";"GUT-Bezeichnung";"Verbrauch EUR";"Menge";"In Zaehlliste";"Richtige R+F-Nummer oder ""dasselbe Teil""";"Bemerkung"
"1005520035030";"IL2 Rockwool Heizungsrohrschale 800 für Rohr 35 mm, Dämmdick";"RORS8003530";"Rohrschale 800 1000mm lang 35/30mm";"8146.10";"1123.600";"ja";"";""
"1005520035030";"IL2 Rockwool Heizungsrohrschale 800 für Rohr 35 mm, Dämmdick";"COFW3530";"CONEL FLEX WOOL Isolierschale, 100%";"446.03";"73.000";"nein";"";""
"1012100018000";"PROFIPRESS Bogen 90 Grad I/I aus Kupfer 18 mm  Modell 2416";"BPB18K";"Bogen B-press 18mm 90 Grad";"34.44";"25.000";"ja";"";""
"1012100018000";"PROFIPRESS Bogen 90 Grad I/I aus Kupfer 18 mm  Modell 2416";"PPB18";"Bogen Profipress 18mm 90 Grad";"2.24";"1.000";"nein";"";""
"1012100022000";"PROFIPRESS Bogen 90 Grad I/I aus Kupfer 22 mm  Modell 2416";"BPB22K";"Bogen B-press 22mm 90 Grad";"189.00";"61.000";"ja";"";""
"1012100022000";"PROFIPRESS Bogen 90 Grad I/I aus Kupfer 22 mm  Modell 2416";"PPB22";"Bogen Profipress 22mm 90 Grad";"17.16";"6.000";"nein";"";""
"1012102022000";"PROFIPRESS T-Stück aus Kupfer 22 mm  Modell 2418";"BPT22";"T-Stueck B-press 22mm";"83.70";"15.000";"ja";"";""
"1012102022000";"PROFIPRESS T-Stück aus Kupfer 22 mm  Modell 2418";"PPT22";"T-Stueck Profipress 22mm";"4.45";"1.000";"nein";"";""
"1014036315000";"Doppelnippel aus RG/CuSi blank DN 25 (R 1) x 150 mm, Modell ";"35302015R";"Langnippel Rotguss";"194.76";"18.000";"ja";"";""
"1014036315000";"Doppelnippel aus RG/CuSi blank DN 25 (R 1) x 150 mm, Modell ";"35301515R";"Langnippel Rotguss";"8.00";"1.000";"nein";"";""
"1015115110000";"Walraven Stockschraube ev M10x100 SW8 TX25";"CCLSTS8120";"Stockschraube KLICK M8x120";"25.09";"100.000";"ja";"";""
"1015115110000";"Walraven Stockschraube ev M10x100 SW8 TX25";"CCLSTS8100";"Stockschraube KLICK M8x100";"22.82";"100.000";"ja";"";""
"1015197035000";"Walraven Rohrschelle KSB1 ev 32-35 mm EPDM M8 Einschraubensc";"CCLRST37";"Standardrohrschelle KLICK Top 33- 37mm";"150.00";"250.000";"ja";"";""
"1015197035000";"Walraven Rohrschelle KSB1 ev 32-35 mm EPDM M8 Einschraubensc";"CCLR35";"Rohrschelle KLICK 32-35mm M 8 1""";"10.00";"20.000";"nein";"";""
"1029988999086";"NICHT IM KATALOG";"COFW3520";"CONEL FLEX WOOL Isolierschale, 50%";"60.06";"14.000";"nein";"";""
"1029988999086";"NICHT IM KATALOG";"COFW2220";"CONEL FLEX WOOL Isolierschale 100%";"7.62";"2.000";"nein";"";""
"1036285300300";"WESA-Kugelhahn aus Pressmessing, PN 32, vernickelt, IG/Ü-Mut";"KHHM2525IVFGP";"Kugelhahn 1"" x 1"" mit Überwurfmutter";"2502.72";"158.000";"ja";"";""
"1036285300300";"WESA-Kugelhahn aus Pressmessing, PN 32, vernickelt, IG/Ü-Mut";"KHHM25IIFG";"TRINNITY Kugelhahn 1"" messing-vern.";"124.96";"8.000";"nein";"";""
"7075413300000";"T-Stück Nr. 130, schwarz DN 25 (R 1) mit 3 I-Gewinden";"130S32";"T-Stueck Nr.130 1 1/4""";"69.40";"20.000";"nein";"";""
"7075413300000";"T-Stück Nr. 130, schwarz DN 25 (R 1) mit 3 I-Gewinden";"130S25";"T-Stueck Nr.130 1""";"24.83";"13.000";"nein";"";""
"7075720300500";"Pumpenverschraubungs-Set a. Temperguss schwarz, DN 25 IG x D";"PV25IO";"Pumpenverschraubung 1"" x 1 1/2"" IG";"243.96";"39.000";"ja";"";""
"7075720300500";"Pumpenverschraubungs-Set a. Temperguss schwarz, DN 25 IG x D";"330S25";"Verschraubung Nr.330 i/i 1""";"153.00";"50.000";"ja";"";""
"7079056106000";"CALEFFI Sicherheitsventil 253 Solar 1/2 IGx3/4 IGx6 bar,Ms-G";"SV156TR";"TRINNITY Membran-Sicherheitsventil";"350.02";"75.000";"ja";"";""
"7079056106000";"CALEFFI Sicherheitsventil 253 Solar 1/2 IGx3/4 IGx6 bar,Ms-G";"CASSV156";"Solar-Sicherheitsventil 1/2""x6 bar";"14.23";"1.000";"nein";"";""
"7085422220000";"OptiSteel simplesta SH V Bogen 45 I/I d = 22";"COCIB2245KNL";"CONNECT INOX HEAT Bogen 22mm 45 Grad KR";"3.49";"1.000";"ja";"";""
"7085422220000";"OptiSteel simplesta SH V Bogen 45 I/I d = 22";"COCIB2245ELKNL";"CONNECT INOX HEAT Bogen 22mm 45 Grad KR";"3.43";"1.000";"ja";"";""
"7085422350000";"OptiSteel simplesta SH V Bogen 45 I/I d = 35";"COCIB3545NL";"CONNECT INOX HEAT Bogen 35mm 45 Grad";"98.72";"16.000";"ja";"";""
"7085422350000";"OptiSteel simplesta SH V Bogen 45 I/I d = 35";"COCIB3545ELNL";"CONNECT INOX HEAT Bogen 35mm 45 Grad";"50.85";"9.000";"ja";"";""
"7085929351000";"OptiSteel simplesta SH M T-Stück IG d = 35 x Rp 1/2";"COCIT3515NL";"CONNECT INOX HEAT T-Stück 35x15x35mm";"218.40";"30.000";"nein";"";""
"7085929351000";"OptiSteel simplesta SH M T-Stück IG d = 35 x Rp 1/2";"COCIT3515INL";"CONNECT INOX HEAT T-Stück 35x1/2""x35mm";"28.64";"4.000";"ja";"";""
