Rubrik;GUT-Artikelnummer;Bezeichnung;Menge gesamt;EK gesamt EUR;R+F-Artikelnummer;Bemerkung
HT Rohr & Zubehör, Tauchhülsen, Rohrschellen und Befestigungsmaterial;CCLRST37;Standardrohrschelle KLICK Top 33- 37mm M8 CONEL f.Stahl/Met./Abfl.rohr;250;15195;;
HT Rohr & Zubehör, Tauchhülsen, Rohrschellen und Befestigungsmaterial;CCLRST25;Standardrohrschelle KLICK Top 20- 25mm M8 CONEL f.Stahl/Met./Abfl.rohr;160;8331;;
HT Rohr & Zubehör, Tauchhülsen, Rohrschellen und Befestigungsmaterial;CCLRST30;Standardrohrschelle KLICK Top 25- 30mm M8 CONEL f.Stahl/Met./Abfl.rohr;140;8091;;
Sonstiges Zubehör & Ventile;DTWFV3234;Trinkwd.f.Verschr.Aramidf. 32x44x1,8 mm W 270, UBA-EL;217;6562;;
HT Rohr & Zubehör, Tauchhülsen, Rohrschellen und Befestigungsmaterial;CCLRST19;Standardrohrschelle KLICK Top 15- 19mm M8 CONEL f.Stahl/Met./Abfl.rohr;80;4072;;
CU Fittinge & Rohre;BPT3515I;"T-Stueck B-press 35mm x 1/2"" IG x 35mm Rotguss P4130G";139;3197;;
Sonstiges Zubehör & Ventile;DTWFV2434;Trinkwd.f.Verschr.Aramidf.24x34x1,8 mm W 270, UBA-ELL;52;1280;;
Uponor, Isoliermaterial Mineralwolle;RORS8002820;Rohrschale 800 1000mm lang 28/20mm nach GEG 100% für FE;250;1145;;
Uponor, Isoliermaterial Mineralwolle;UPRPL2550;5-Schicht-Verbundrohr Uni Pipe PLUS 25 x 2.50 mm weiss im Ring je 50m;150;858;;
HT Rohr & Zubehör, Tauchhülsen, Rohrschellen und Befestigungsmaterial;BZTTHCU200;"Tauchhuelse 1/2"" x 200mm aus Cu-Leg. f.Bimetall-Thermometer";50;798;;
Uponor, Isoliermaterial Mineralwolle;UCPA2015N;"Übergangsnippel Uponor S-Press PLUS MLC 20mm x 1/2"" AG";112;774;;
Uponor, Isoliermaterial Mineralwolle;RORS8001820;Rohrschale 800 1000mm lang 18/20mm nach GEG 100%;188;762;;
Uponor, Isoliermaterial Mineralwolle;UPRPL20100;5-Schicht-Verbundrohr Uni Pipe PLUS 20 x 2.25 mm weiss im Ring je 100m;200;644;;
Uponor, Isoliermaterial Mineralwolle;RORS8002220;Rohrschale 800 1000mm lang 22/20mm nach GEG 100%;149;633;;
C-Stahl Fittinge & Rohre;POVUS2215A;"Prestabo-Übergangsstück 22mm x 1/2"" AG Stahl unlegiert,verzinkt,";55;416;;
CU Fittinge & Rohre;BPUS3532I;"Uebergangsstueck B-press 35mm x 1 1/4""IG Rotguss P4270G";23;409;;
Uponor, Isoliermaterial Mineralwolle;UPRPL16100;5-Schicht-Verbundrohr Uni Pipe PLUS 16 x 2.00 mm weiss im Ring je 100m;200;362;;
Schwarz;PV25IO;"Pumpenverschraubung 1"" x 1 1/2"" IG Temperguss o.Dichtung f.H";39;244;;
C-Stahl Fittinge & Rohre;POVUS3532A;"Prestabo-Übergangsstück 35mm x 1 1/4"" AG Stahl unlegiert,verzinkt";22;223;;
HZ Edelstahlsystem;COCIUS3532ANL;"CONNECT INOX HEAT Übergangsstück 35x1 1/4"" AG 1.4307 CONEL";12;122;;
HT Rohr & Zubehör, Tauchhülsen, Rohrschellen und Befestigungsmaterial;BZTTHCU100;"Tauchhuelse 1/2"" x 100mm aus Cu-Leg. f.Bimetall-Thermometer";9;121;;
C-Stahl Fittinge & Rohre;POVUS2220A;"Prestabo-Übergangsstück 22mm x 3/4"" AG Stahl unlegiert,verzinkt,";21;119;;
HT Rohr & Zubehör, Tauchhülsen, Rohrschellen und Befestigungsmaterial;CSBLTH150;COSMO Tauchhülse DN15 L=150mm Messing vernickelt;11;110;;
C-Stahl Fittinge & Rohre;POVUS3532I;"Prestabo-Übergangsstück 35mm x 1 1/4"" IG Stahl unlegiert,verzinkt";9;103;;
HZ Edelstahlsystem;COCIUS2215INL;"CONNECT INOX HEAT Übergangsstück 22 x 1/2"" IG 1.4307 CONEL";6;31;;
C-Stahl Fittinge & Rohre;POVUS2225A;"Prestabo-Übergangsstück 22mm x 1"" AG Stahl unlegiert,verzinkt, Pr";5;25;;
Sonstiges Zubehör & Ventile;SCHLSCH1625;"Schlauchschelle Stahl 16-25mm f.Schlauchgr. Plastik 3/4"" / Gummi";84;24;;
HT Rohr & Zubehör, Tauchhülsen, Rohrschellen und Befestigungsmaterial;CSBLTH100;COSMO Tauchhülse DN15 L=100mm Messing vernickelt;2;19;;
CU Fittinge & Rohre;BPT1815I;"T-Stueck B-press 18mm x 1/2"" IG x 18mm Rotguss P4130G";5;16;;
Übergänge & Verschraubungen & Reduzierungen;PVB15IO;"Pumpenverschraubung 1/2"" x 1"" IG Rotguss o.Dichtung f.Brauch";1;13;;
Uponor, Isoliermaterial Mineralwolle;UCPTR202016N;T-Stück Uponor reduziert S-Press PLUS MLC 20 x 20 x 16mm;1;10;;
HZ Edelstahlsystem;COCIUS3525INL;"CONNECT INOX HEAT Übergangsstück 35 x 1"" IG 1.4307 CONEL";1;10;;
HZ Edelstahlsystem;COCIUS2820INL;"CONNECT INOX HEAT Übergangsstück 28 x 3/4"" IG 1.4307 CONEL";1;7;;
