Faktor R+F zu GUT;GUT-Nummer;Bezeichnung;Zusatz;Einheit;Kategorie;Quelle;zugeordnete R+F-Nr;R+F-Bezeichnung;GUT-EK;R+F-EK;Menge;Abweichung EUR;richtige R+F-Nummer;Bemerkung
0,02;CCLSTS8120;Stockschraube KLICK M8x120;I-Stern galv. verz. CONEL;Stück;ungeklaert;vermutet;1015115110000;;25,09;0,47;100;-2462;;
0,02;CCLSTS8100;Stockschraube KLICK M8x100;I-Stern galv. verz. CONEL;Stück;ungeklaert;vermutet;1015115110000;;22,82;0,47;100;-2235;;
0,04;CCLGMV830;Gewindemuffe KLICK M8x30;galv. verz. CONEL;Stück;formteil;automatisch;1015160458830;;17,49;0,69;100;-1680;;
4,61;SV156TR;TRINNITY Membran-Sicherheitsventil;"Messing 1/2"" x 3/4"" 6 bar";Stück;ventil;automatisch;7079056106000;;4,73;21,81;74;1264;;
0,01;CCLR35;"Rohrschelle KLICK 32-35mm M 8 1""";CONEL f.Stahl/Metall/Abfl.rohr;Stück;schelle_zubehoer;lager;1015197035000;Walraven Rohrschelle KSB1 ev 32-35 mm EPDM M8 Einschraubensc;53,94;0,43;20;-1070;;
0,22;31302515;"T-Stueck Rotguss 1""x 1/2""x 1""";3130;Stück;formteil;vermutet;0000100322858;;13,38;2,91;68;-712;;
2,42;RORS8003520;Rohrschale 800 1000mm lang 35/20mm;nach GEG 50%;m;daemmung;vermutet;1005520054050;;5,25;12,69;71;532;;
3,02;POVRS3522;Prestabo-Reduzierstück 35 x 22mm;Stahl unlegiert,verzinkt, Einsteckende;Stück;formteil;vermutet;7020900558765;;3,23;9,74;74;482;;
2,42;KV336080L;Flachheizkörper Kermi Profil V-Kompakt;Typ 33 links 600x 800mm lackiert;Stück;sonstiges;vermutet;0000100323437;;252,40;610,23;1;358;;
0,33;COFW3530;CONEL FLEX WOOL Isolierschale, 100%;35x33mm, mit alukaschierter Folie, 1m;m;daemmung;vermutet;1029988999086;;6,11;2,02;73;-299;;
2,43;CLALUEND20;Alu Endmanschettenband 20mm;blank Rolle a 10m;Rolle;daemmung;vermutet;1005060450020;;8,99;21,85;14;180;;
2,09;SSPT50;Siphon mit Leckwassertrichter DN 50;mit Wandhalterung, aus Kunststoff;Stück;ungeklaert;vermutet;3059050000000;;4,56;9,55;36;180;;
2,97;CSBLTH200;COSMO Tauchhülse DN15 L=200mm;Messing vernickelt;Stück;schelle_zubehoer;vermutet;2023230979902;;10,24;30,45;8;162;;
2,44;ESBM3020MVN;ESBE Brauchwassermischer Serie VTA322;"35-60 Grad mit Verschraubung 3/4"" AG";Stück;ventil;vermutet;7076131400100;;74,80;182,41;1;108;;
3,86;OTSSV32;"Oberteil m.Handrad 1 1/4"" messing";f.Durchgangsventile;Stück;ventil;vermutet;0897342032400;;21,63;83,56;1;62;;
2,28;BMPM16;"Muffe B Maxipro 5/8""";Kupfer für Kälteanlagen;Stück;formteil;automatisch;2021551007858;;8,16;18,64;5;52;;
5,09;PPRE2218;Reduzierstueck Profipress 22 x 18mm;Kupfer, m. Pressanschluss, Einsteckende;Stück;formteil;automatisch;1012641221000;;2,04;10,38;4;33;;
2,03;COCIT3515INL;"CONNECT INOX HEAT T-Stück 35x1/2""x35mm";1.4307 CONEL;Stück;formteil;vermutet;7085929351000;;7,16;14,55;4;30;;
2,47;COFEL2813;CONEL FLEX EL Schlauchisolierung 50%;28 x 13mm ungeschl. Länge: 2m;m;ungeklaert;vermutet;1005021035020;;1,64;4,05;12;29;;
0,32;KKVV1K;Kermi Kv-Einsatz V1K;f.Ventile Einbauzeitraum von 1991-1993;Stück;ventil;vermutet;1036826300000;;36,04;11,39;1;-25;;
2,29;WFBD16090;Bogen gepresst Wickelfalz vz.DN 160;90 Grad m.Dichtung;Stück;sonstiges;vermutet;7085907540000;;7,74;17,69;2;20;;
4,57;BPRE2218;Reduzierstueck B-press 22 x 18mm;Kupfer P5243;Stück;formteil;automatisch;1012641221000;;2,27;10,38;2;16;;
2,85;CODA1005087;CONEL DRAIN Abzweig DN 100x50 87 Grad;;Stück;ungeklaert;vermutet;1009023100000;;6,38;18,21;1;12;;
2,71;CODA705087;CONEL DRAIN Abzweig DN 70x50 87 Grad;;Stück;ungeklaert;vermutet;1009022009000;;5,41;14,67;1;9;;
2,05;309020;"Winkel Rotguss i/i 90 Grad 3/4""";3090;Stück;formteil;vermutet;1014011210000;;3,47;7,13;2;7;;
3,59;SPUS1515;Uebergangsstueck Sanpress/Profipress;"15mm x 1/2""AG, Rotguss,m.Pressanschluss";Stück;formteil;vermutet;1016361180000;;1,83;6,57;1;5;;
2,06;CODMS50;CONEL DRAIN Muffenstopfen DN 50;;Stück;sonstiges;automatisch;1009155050000;;1,15;2,37;1;1;;
2,91;SCHLSCH2032;Schlauchschelle Stahl 20-32mm;"f.Schlauchgr. Gummi 3/4""";Stück;schelle_zubehoer;vermutet;1016735200000;;0,33;0,96;1;1;;
