Systemfamilie;R+F-Artikelnummer;Bezeichnung;EK EUR;Einheit;Bild vorhanden;Rubrik im Aufmass;Zeilenname im Aufmass;Entscheidung;Bemerkung
Heizungsedelstahl;7085429351000;OptiSteel simplesta SH V T-Stück IG d = 35 x Rp 1/2;12,30;Stück;ja;;;;
Heizungsedelstahl;7085473354000;OptiSteel simplesta SH V Ü-Muffe IG IG, d = 35 x Rp 11/4;10,64;Stück;ja;;;;
Heizungsedelstahl;7085431352000;OptiSteel simplesta SH V T-Stück red. d = 35-22;10,34;Stück;ja;;;;
Heizungsedelstahl;7085472353000;OptiSteel simplesta SH V Übergangsstück AG, d = 35 x R 1;8,52;Stück;ja;;;;
Heizungsedelstahl;7085407350000;OptiSteel simplesta SH V Bogen 90 I/A d = 35;8,31;Stück;ja;;;;
Heizungsedelstahl;7085420350000;OptiSteel simplesta SH V Bogen 45 I/A d = 35;8,28;Stück;ja;;;;
Heizungsedelstahl;7085429281000;OptiSteel simplesta SH V T-Stück IG d = 28 x Rp 1/2;8,10;Stück;ja;;;;
Heizungsedelstahl;7085472282000;OptiSteel simplesta SH V Übergangsstück AG, d = 28 x R 3/4;7,83;Stück;ja;;;;
Heizungsedelstahl;7085431281000;OptiSteel simplesta SH V T-Stück red. d = 28-22;6,92;Stück;ja;;;;
Heizungsedelstahl;7085429221000;OptiSteel simplesta SH V T-Stück IG d = 22 x Rp 1/2;6,92;Stück;ja;;;;
Heizungsedelstahl;7085472223000;OptiSteel simplesta SH V Übergangsstück AG, d = 22 x R 1;5,15;Stück;ja;;;;
Heizungsedelstahl;7085402280000;OptiSteel simplesta SH V Bogen 90 I/I d = 28;4,52;Stück;ja;;;;
Heizungsedelstahl;7085407280000;OptiSteel simplesta SH V Bogen 90 I/A d = 28;4,52;Stück;ja;;;;
Heizungsedelstahl;7085420280000;OptiSteel simplesta SH V Bogen 45 I/A d = 28;4,11;Stück;ja;;;;
Heizungsedelstahl;7085470280000;OptiSteel simplesta SH V Muffe d = 28;2,75;Stück;ja;;;;
Kupfer;1012110328000;PROFIPRESS Verschlusskappe aus Kupfer 28 mm Modell 2456;12,17;Stück;ja;;;;
Kupfer;1012100121000;PROFIPRESS/SANPRESS Bogen 90 Gr. aus Rg. 12 mm x R 1/2 AG Modell 2214;11,40;Stück;nein;;;;
Kupfer;1012107652000;PROFIPRESS/SANPRESS Verschraubung a.Rotg 15 mm x R 3/4 IG, flachdi., Modell 2263;5,93;Stück;ja;;;;
Kupfer;1012102183000;PROFIPRESS T-Stück aus Kupfer 18x15x18 mm Modell 2418;4,21;Stück;ja;;;;
Sanpress;1012103181000;Viega T-Stück mit SC Sanpress 2217.2 in 18mm x Rp1/2 x 18mm Siliziumbronze;17,23;Stück;ja;;;;
Sanpress;1012105284000;Viega Übergangsstück mit SC Sanpress 2212 in 28mm x Rp1 1/4 IG Siliziumbronze;15,93;Stück;ja;;;;
Sanpress;1012103151000;Viega T-Stück mit SC Sanpress 2217.2 in 15mm x Rp1/2 x 15mm Siliziumbronze;10,23;Stück;ja;;;;
Sonstige;0000101124864;GROHE Absperrgriff 101400 Allure Brilliant chrom;160,26;Stück;nein;;;;
Sonstige;0000101124696;GROHE Kappe 101300 2 Stück chrom;26,80;Stück;nein;;;;
Sonstige;7075747100300;Pumpenverschraubungs-Set Kupferleg.CuSi Lötanschluß DN 15 AG/15 mm x DN 25 IG;18,03;Satz;ja;Verschraubungen;Pumpenverschraubung CuSi;;
Sonstige;7084427100001;HEIMEIER Thermostat-Ventilunterteil V-exact II, Axialform, DN 15;16,68;Stück;ja;Heizkörper-Anschluss;Ventilunterteil Axialform DN 15;;
Sonstige;3573500000101;Optiline Geräteschrägsitzventil m. RV, RB, G 1/2, chrom;15,73;Stück;ja;Ventile & Absperrung;Geräteschrägsitzventil G 1/2 m. RV/RB;;
Sonstige;7084426100001;HEIMEIER Thermostat-Ventilunterteil V-exact II, Durchgang, DN 15, vernickelt;15,27;Stück;ja;Heizkörper-Anschluss;Ventilunterteil Durchgang DN 15;;
Sonstige;7084425100001;HEIMEIER Thermostat-Ventilunterteil V-exact II, Eckform, DN 15, vernickelt;15,27;Stück;ja;Heizkörper-Anschluss;Ventilunterteil Eckform DN 15;;
Sonstige;7038516300000;Optiline Kugelhahn, Knebelgriff, DN 25, 1 IG, PN16, Messing;14,44;Stück;ja;Ventile & Absperrung;Kugelhahn DN 25 Knebel;;
Sonstige;7038517301000;Optiline Pumpenkugelhahn o. Sperrventil, DN 25, 1 IG, Messing;13,76;Stück;ja;Ventile & Absperrung;Pumpenkugelhahn DN 25;;
Sonstige;1014054310000;T-Stück aus RG/CuSi Nr.3130 in Rp1 x Rp1/2 x Rp1;12,16;Stück;ja;;;;
Sonstige;7076801904000;Einschraub-Schutzrohr Typ SWT52G G1/2B - 10,0*0,75 U1=160 MS SW27;10,72;Stück;ja;Messen & Anzeigen;Tauchhülse G 1/2 x 160 mm;;
Sonstige;7076526110639;FL KFE-Kugelhahn Durchgang, DVGW G1/2a PN16 MS vern.;10,16;Stück;ja;Entlüften & Entleeren + Sonstige Formteile;FL KFE-Kugelhahn Durchgang, DVGW G1/2a PN16 MS vern. + KFE-Kugelhahn DVGW;;
Sonstige;7008810300300;Kappenventil aus Messing, R 1 x 1, mit Plombiervorrichtung;9,99;Stück;ja;Ventile & Absperrung;"Kappenventil 1""";;
Sonstige;1014036215000;Doppelnippel aus RG/CuSi blank DN 20 (R 3/4) x 150 mm, Modell 3530;9,78;Stück;ja;;;;
Sonstige;1014036310000;Doppelnippel aus RG/CuSi blank DN 25 (R 1) x 100 mm, Modell 3530;9,20;Stück;ja;;;;
Sonstige;7039000000100;Optiline Thermost.,G.-Anschl.M30x1,5 weiss, ohne Nullstellung, 7 - 28 Grad C;8,82;Stück;ja;Heizkörper-Anschluss;Thermostatkopf M30x1,5;;
Sonstige;7038002206000;Optiline Membran-Sicherheitsventil Ansprechdruck 6,0 bar, E/A DN 20 x DN 25;8,07;Stück;ja;Ventile & Absperrung;Sicherheitsventil 6 bar DN 20 x 25;;
Sonstige;7076569100000;FL KFE-Kugelhahn Durchgang G1/2a PN16 MS vern. m. Schlauchverschr.;7,70;Stück;ja;Entlüften & Entleeren;KFE-Hahn mit Schlauchtülle;;
Sonstige;1014036115000;Doppelnippel aus RG/CuSi blank DN 15 (R 1/2) x 150 mm, Modell 3530;7,23;Stück;ja;;;;
Sonstige;7008810200200;Kappenventil aus Messing, 3/4 x 3/4 mit Plombiervorrichtung;6,96;Stück;ja;Ventile & Absperrung;"Kappenventil 3/4""";;
Sonstige;7039022100000;Optiline Rücklaufverschr.DN 15 Eckf. ohne Entleerung, Messing vernickelt;6,31;Stück;ja;Heizkörper-Anschluss;Rücklaufverschr. DN 15 Eck;;
Sonstige;7039023100000;Optiline Rücklaufverschr.DN15 Durchg ohne Entleerung, Messing vernickelt;6,31;Stück;ja;Heizkörper-Anschluss;Rücklaufverschr. DN 15 Durchg.;;
Sonstige;7038002106000;Optiline Membran-Sicherheitsventil Ansprechdruck 6,0 bar, E/A DN 15 x DN 20;5,99;Stück;ja;Ventile & Absperrung;Sicherheitsventil 6 bar DN 15 x 20;;
Sonstige;1014056400000;Kappe aus RG/CuSi Nr.3301 R 11/4, mit Innengewinde;5,58;Stück;ja;;;;
Sonstige;1014036208000;Doppelnippel aus RG/CuSi blank DN 20 (R 3/4) x 80 mm, Modell 3530;4,96;Stück;ja;;;;
Sonstige;7075435300000;Verschraubung Nr. 331 I/A-Gew., schwarz DN 25 (R 1), flachdichtend, oh. Dicht.;4,50;Stück;ja;Verschraubungen;Verschraubung 331 I/A DN 25;;
Sonstige;7075433300000;Verschraubung Nr. 330, schwarz DN 25 (R 1), flachdichtend, oh. Dicht.;4,20;Stück;ja;Verschraubungen;Verschraubung 330 DN 25;;
Sonstige;1014036108000;Doppelnippel aus RG/CuSi blank DN 15 (R 1/2) x 80 mm, Modell 3530;3,85;Stück;ja;;;;
Sonstige;7075433100000;Verschraubung Nr. 330, schwarz DN 15 (R 1/2), flachdichtend, oh. Dicht.;3,33;Stück;ja;Verschraubungen;Verschraubung 330 DN 15;;
Sonstige;1014036206000;Doppelnippel aus RG/CuSi blank DN 20 (R 3/4) x 60 mm, Modell 3530;3,03;Stück;ja;;;;
Sonstige;1014036106000;Doppelnippel aus RG/CuSi blank DN 15 (R 1/2) x 60 mm, Modell 3530;2,55;Stück;ja;;;;
Sonstige;1009105050015;Optiline Comfort PP Bogen DN 50, 15 Grad;2,41;Stück;ja;;;;
Sonstige;1009105050087;Optiline Comfort PP Bogen DN 50, 87,5 Grad;2,39;Stück;ja;;;;
Sonstige;1009105050045;Optiline Comfort PP Bogen DN 50, 45 Grad;2,39;Stück;ja;;;;
Sonstige;1009105050030;Optiline Comfort PP Bogen DN 50, 30 Grad;2,39;Stück;ja;;;;
Sonstige;1014036204000;Doppelnippel aus RG/CuSi blank DN 20 (R 3/4) x 40 mm, Modell 3530;2,23;Stück;ja;;;;
Sonstige;1014036104000;Doppelnippel aus RG/CuSi blank DN 15 (R 1/2) x 40 mm, Modell 3530;1,94;Stück;ja;;;;
Sonstige;1013015300000;Doppelnippel schwarz DN 25 (R 1) 150 mm;1,63;Stück;ja;;;;
Sonstige;1013012300000;Doppelnippel schwarz DN 25 (R 1) 120 mm;1,36;Stück;ja;;;;
Sonstige;7075430100000;Kappe Nr. 300, schwarz DN 15 (R 1/2);1,03;Stück;ja;;;;
Sonstige;1013010300000;Doppelnippel schwarz DN 25 (R 1) 100 mm;1,01;Stück;ja;;;;
Sonstige;1013006300000;Doppelnippel schwarz DN 25 (R 1) 60 mm;0,82;Stück;ja;;;;
Sonstige;1016735100000;Schlauchschelle W2 aus Chromstahl 1.4016 Spannbereich 16 - 25 mm;0,81;Stück;ja;Schellen & Befestigung;Schlauchschelle 16-25 mm;;
Sonstige;1015197028000;Walraven Rohrschelle KSB1 ev 25-28 mm EPDM M8 Einschraubenschelle;0,71;Stück;ja;Schellen & Befestigung;Rohrschelle 25-28 mm;;
Sonstige;1015197018000;Walraven Rohrschelle KSB1 ev 15-18 mm EPDM M8 Einschraubenschelle;0,61;Stück;ja;Schellen & Befestigung;Rohrschelle 15-18 mm;;
Sonstige;1012549100000;Trinkwasser-Verschraubungsdichtung, OHA-Press, 24 x 34 x 1,8 mm;0,44;Stück;ja;Verschraubungen;Verschraubungsdichtung TW;;
Sonstige;1015197023000;Walraven Rohrschelle KSB1 ev 20-23 mm EPDM M8 Einschraubenschelle;0,38;Stück;ja;Schellen & Befestigung;Rohrschelle 20-23 mm;;
Sonstige;1015160313810;Walraven Gewindestift DIN 976-1 ev M8 x 100 mm;0,31;Stück;ja;Schellen & Befestigung;Gewindestift M8 x 100;;
Sonstige;1015160313808;Walraven Gewindestift DIN 976-1 ev M8 x 80 mm;0,22;Stück;ja;Schellen & Befestigung;Gewindestift M8 x 80;;
Sonstige;1015160453830;Walraven Gewindemuffe ev 11x11x30 M8 x 30 mm;0,18;Stück;ja;;;;
Uponor;1029201070579;Uponor T-Stück reduziert S-Press PLUS 25-32-25;25,10;Stück;ja;;;;
Uponor;1029201070510;"Uponor Übergangsnippel S-Press PLUS 32-R1 1/4""MT";14,93;Stück;ja;;;;
Uponor;1029201070595;"Uponor T-Stück m. Innengew. S-Press PLUS 16-Rp1/2""FT-16";13,40;Stück;ja;;;;
Uponor;1029201070550;Uponor Kupplung S-Press PLUS 32-32;10,74;Stück;ja;;;;
Uponor;1029201070569;Uponor T-Stück reduziert S-Press PLUS 20-20-16;9,77;Stück;ja;;;;
