Kategorie;Formteil-Gruppe;GUT-Nummer;Bezeichnung;Zusatz;Menge;zugeordneter EK;Warenwert;zugeordnete R+F-Nr;R+F-Bezeichnung;R+F im Lagerauszug;richtige R+F-Nummer;Bemerkung
daemmung;;CLALUEND20SW;Position gesperrt. Alu Endmanschettenband 20mm;schwarz Rolle a 10m;0;21,13;;1005060441030;;nein;;
daemmung;;CLALUEND30;Position gesperrt. Alu Endmanschettenband 30mm;blank Rolle a 10m;0;24,75;;1005060450030;;nein;;
ventil;;KHHM2532IVFGP;"Kugelhahn 1"" x 1 1/4"" mit Überwurfmutter";und Plombierungsbohrung;91;17,57;3440;1036285300000;WESA-Kugelhahn aus Pressmessing, PN 32, vernickelt, IG/Ü;ja;;
rohr;;CUS3512;Kupferrohr Sanco-DVGW EN 1057 35 x 1.2mm;hart in Stangen R290;60;20,62;1291;1011960350012;;nein;;
daemmung;;COFALUK50;Alu-Klebeband CONEL 50mm breit;Rolle a 100m;91;11,70;1206;1005510050000;;nein;;
ventil;;KHDVGW15D;"KFE-Hahn DVGW-Ausführung 1/2"" Durchgang";vernickelt ohne Schlauchverschraubung;98;10,43;1070;0000101130353;;nein;;
formteil;"rotguss-gewinde / 1"" und groesser / gewinde";31302515;"T-Stueck Rotguss 1""x 1/2""x 1""";3130;68;2,91;910;0000100322858;;nein;;
formteil;"rotguss-gewinde / 1"" und groesser / gewinde";35302510R;Langnippel Rotguss;"1"" x 100mm 3530";59;4,96;600;1014036110000;Doppelnippel aus RG/CuSi blank DN 15 (R 1/2) x 100 mm, M;ja;;
formteil;connect-inox / 35mm und groesser / gewinde;COCIUS3525ANL;CONNECT INOX HEAT Übergangsstück;"35 x 1"" AG 1.4307 CONEL";56;6,92;486;7085472283000;OptiSteel simplesta SH V Übergangsstück AG, d = 28 x R 1;ja;;
daemmung;;COFW3530;CONEL FLEX WOOL Isolierschale, 100%;35x33mm, mit alukaschierter Folie, 1m;73;2,02;446;1029988999086;;nein;;
sonstiges;;KV3390100L;Flachheizkörper Kermi Profil V-Kompakt;Typ 33 links 900x1000mm lackiert;1;804,31;432;7089033809100;;nein;;
daemmung;;RORS8003520;Rohrschale 800 1000mm lang 35/20mm;nach GEG 50%;71;12,69;375;1005520054050;;nein;;
sonstiges;;333132;"Verschraubung Rotguss i/a 1 1/4""";flachdichtend 3331;8;21,27;332;1014048300000;Rohrverschraubung aus RG/CuSi Nr.3331 R 1, flachdichtend;ja;;
rohr;;POVR35;Prestabo-Rohr 35 x 1,5 mm, Stange a 6m;Stahl unlegiert, außen verzinkt;78;5,54;318;7020900559496;;nein;;
formteil;uponor-mlc / ohne Mass / gewinde;UCUEK2522N;Übergang Uponor auf Kupfer S-Press PLUS;MLC U 25 x 22 Cu zum Pressen;26;9,54;316;1029201070617;Uponor Übergang auf Kupfer S-Press PLUS 20-22CU;ja;;
sonstiges;;KV336080L;Flachheizkörper Kermi Profil V-Kompakt;Typ 33 links 600x 800mm lackiert;1;610,23;252;0000100323437;;nein;;
formteil;prestabo-stahl / 35mm und groesser / presse;POVRS3522;Prestabo-Reduzierstück 35 x 22mm;Stahl unlegiert,verzinkt, Einsteckende;74;9,74;239;7020900558765;;nein;;
ventil;;ESSM661;ESBE ARA661 Stellmotor 3-Punkt 230V AC;Laufzeit 90° 120s;2;164,42;222;7076110095120;;nein;;
formteil;connect-inox / 35mm und groesser / presse;COCIT3515NL;CONNECT INOX HEAT T-Stück 35x15x35mm;1.4307 CONEL;30;14,55;218;7085929351000;;nein;;
formteil;"rotguss-gewinde / 1"" und groesser / gewinde";35302015R;Langnippel Rotguss;"3/4"" x 150mm 3530";18;13,44;195;1014036315000;;nein;;
sonstiges;;KV229040L;Flachheizkörper Kermi Profil V-Kompakt;Typ 22 links 900x 400mm lackiert;1;332,10;169;7089022809040;;nein;;
rohr;;CUS22H;Kupferrohr Sanco-DVGW EN 1057 22 x 1.0mm;halbhart in Stangen R250;15;10,43;167;1011960220000;;nein;;
ungeklaert;;SSPT50;Siphon mit Leckwassertrichter DN 50;mit Wandhalterung, aus Kunststoff;37;9,55;164;3059050000000;;nein;;
formteil;"rotguss-gewinde / 1"" und groesser / gewinde";35302010R;"Langnippel Rotguss 3/4"" x 100mm";3530;24;4,96;160;1014036110000;Doppelnippel aus RG/CuSi blank DN 15 (R 1/2) x 100 mm, M;ja;;
formteil;"gewinde-schwarz / 1"" und groesser / gewinde";NIPS256;"Rohrdoppelnippel Nr.23 1"" x 60mm";schwarz;119;1,01;155;0000100322582;;nein;;
formteil;prestabo-stahl / 35mm und groesser / presse;POVT3522;Prestabo-T-Stück 35 x 22 x 35mm;Stahl unlegiert,verzinkt, Pressanschluss;13;10,51;153;7020900558932;;nein;;
daemmung;;COFPUP3520;CONEL FLEX PUR Isolierschale, 50%;35x20mm, mit PVC Mantel, 1m;30;5,76;149;1020141020000;;nein;;
rohr;;CUS281H;Kupferrohr Sanco-DVGW EN 1057 28 x 1.0mm;halbhart in Stangen R250;10;13,71;143;1011960281000;;nein;;
daemmung;;CLALUEND20;Position gesperrt. Alu Endmanschettenband 20mm;blank Rolle a 10m;14;21,85;126;1005060450020;;nein;;
formteil;connect-inox / 22-28mm / gewinde;COCIUS2825ANL;CONNECT INOX HEAT Übergangsstück;"28 x 1"" AG 1.4307 CONEL";17;6,92;126;7085472283000;OptiSteel simplesta SH V Übergangsstück AG, d = 28 x R 1;ja;;
formteil;uponor-mlc / ohne Mass / gewinde;UCUEK1615N;Übergang Uponor auf Kupfer S-Press PLUS;MLC U 16 x 15 Cu;17;7,08;125;1029201070615;Uponor Übergang auf Kupfer S-Press PLUS 16-15CU;ja;;
formteil;"gewinde-schwarz / 1"" und groesser / gewinde";NIPS2515;"Rohrdoppelnippel Nr.23 1"" x 150mm";schwarz;60;1,01;118;0000100322582;;nein;;
ungeklaert;;BMPMMEK10;"Bördeladapter mit Messingmutter 3/8""";mit Edelstahlkonus für Kälteanlagen;4;30,18;112;2021521200038;;nein;;
daemmung;;COFALUK100;Alu-Klebeband CONEL 100mm breit;Rolle a 100m;4;17,45;106;2029840000043;;nein;;
schelle_zubehoer;;CSBLTH200;COSMO Tauchhülse DN15 L=200mm;Messing vernickelt;8;30,45;82;2023230979902;;nein;;
ventil;;ESBM3020MVN;ESBE Brauchwassermischer Serie VTA322;"35-60 Grad mit Verschraubung 3/4"" AG";1;182,41;75;7076131400100;;nein;;
ungeklaert;;WFREN1603;Wickelfalzrohr verzinkt DN 160;nach DIN EN 12237 Länge 3 Meter;3;10,34;72;2029415200300;;nein;;
ungeklaert;;CTG12;COSMO TW-Ausdehnungsgefäss 12 Ltr. weiss;VD 4,0 bar, Btr.druck 10 bar durchströmt;1;103,11;71;7008200024349;;nein;;
formteil;"gewinde-schwarz / 1"" und groesser / gewinde";130S32;"T-Stueck Nr.130 1 1/4""";schwarz;20;2,64;69;7075413300000;T-Stück Nr. 130, schwarz DN 25 (R 1) mit 3 I-Gewinden;ja;;
ungeklaert;;BMPMMEK16;"Bördeladapter mit Messingmutter 5/8""";mit Edelstahlkonus für Kälteanlagen;2;51,34;68;2021521300058;;nein;;
formteil;uponor-mlc / ohne Mass / gewinde;UCUEK2018N;Uebergang auf Kupfer MLC Uponor PLUS;U 20 x 18 Cu zum Pressen;6;16,93;61;1012223020018;;nein;;
daemmung;;COFW3520;CONEL FLEX WOOL Isolierschale, 50%;35x20mm, mit alukaschierter Folie, 1m;14;2,02;60;1029988999086;;nein;;
formteil;"maxipro-kupfer / bis 3/4"" / presse";BMPB10;"Bogen 90° B Maxipro 3/8"" i/i";Kupfer für Kälteanlagen;5;11,25;52;2021511290038;;nein;;
ungeklaert;;FPAT252550II;TRINNITY flex. Panzerschlauch f. Heizung;"Trinkwasser 1"" IG x 1"" IG, 500 mm";2;29,47;50;1016302003711;;nein;;
