Gruppe;GUT-Nummer;Bezeichnung;Zusatz;Hersteller;Menge;zugeordneter EK;Warenwert;zugeordnete R+F-Nr;R+F-Nr mehrfach vergeben;Satz der Gruppe;Hebel auf den Satz;richtige R+F-Nummer;Bemerkung
daemmung;RORS8003530;Rohrschale 800 1000mm lang 35/30mm;nach GEG 100%;DEGL01;1124;33,28;37393;1005520089100;ja (2x);;;;
daemmung;RORS8002830;Rohrschale 800 1000mm lang 28/30mm;nach GEG 100%;DEGL01;49;33,28;1614;1005520089100;ja (2x);;;;
rohr;CUS3512;Kupferrohr Sanco-DVGW EN 1057 35 x 1.2mm;hart in Stangen R290;KAOS01;60;20,62;1237;1011960350012;;;;;
daemmung;COFALUK50;Alu-Klebeband CONEL 50mm breit;Rolle a 100m;LIRO03;91;11,70;1065;1005510050000;;;;;
ventil;KHDVGW15D;"KFE-Hahn DVGW-Ausführung 1/2"" Durchgang";vernickelt ohne Schlauchverschraubung;FLRE01;98;10,43;1022;0000101130353;;;;;
daemmung;RORS8003520;Rohrschale 800 1000mm lang 35/20mm;nach GEG 50%;DEGL01;71;12,69;907;1005520054050;;;;;
sonstiges;KV3390100L;Flachheizkörper Kermi Profil V-Kompakt;Typ 33 links 900x1000mm lackiert;KEPA02;1;804,31;804;7089033809100;;;;;
prestabo-stahl / 35mm und groesser / presse;POVRS3522;Prestabo-Reduzierstück 35 x 22mm;Stahl unlegiert,verzinkt, Einsteckende;VIAT01;74;9,74;721;7020900558765;;8,06;0,12;;
sonstiges;KV336080L;Flachheizkörper Kermi Profil V-Kompakt;Typ 33 links 600x 800mm lackiert;KEPA02;1;610,23;610;0000100323437;;;;;
connect-inox / 35mm und groesser / presse;COCIT3515NL;CONNECT INOX HEAT T-Stück 35x15x35mm;1.4307 CONEL;RACA01;30;14,55;437;7085929351000;ja (2x);9,07;0,96;;
rohr;POVR35;Prestabo-Rohr 35 x 1,5 mm, Stange a 6m;Stahl unlegiert, außen verzinkt;VIAT01;78;5,54;432;7020900559496;;;;;
ungeklaert;SSPT50;Siphon mit Leckwassertrichter DN 50;mit Wandhalterung, aus Kunststoff;ALBR08;37;9,55;353;3059050000000;;;;;
sonstiges;KV229040L;Flachheizkörper Kermi Profil V-Kompakt;Typ 22 links 900x 400mm lackiert;KEPA02;1;332,10;332;7089022809040;;;;;
ventil;ESSM661;ESBE ARA661 Stellmotor 3-Punkt 230V AC;Laufzeit 90° 120s;ESCA01;2;164,42;329;7076110095120;;;;;
daemmung;CLALUEND20;Position gesperrt. Alu Endmanschettenband 20mm;blank Rolle a 10m;KAHO03;14;21,85;306;1005060450020;;;;;
schelle_zubehoer;CSBLTH200;COSMO Tauchhülse DN15 L=200mm;Messing vernickelt;RESP01;8;30,45;244;2023230979902;;;;;
"rotguss-gewinde / 1"" und groesser / gewinde";35302015R;Langnippel Rotguss;"3/4"" x 150mm 3530";VIAT01;18;13,44;242;1014036315000;ja (2x);5,23;0,19;;
"rotguss-gewinde / 1"" und groesser / gewinde";31302515;"T-Stueck Rotguss 1""x 1/2""x 1""";3130;VIAT01;68;2,91;198;0000100322858;;5,23;-0,22;;
ventil;ESBM3020MVN;ESBE Brauchwassermischer Serie VTA322;"35-60 Grad mit Verschraubung 3/4"" AG";ESCA01;1;182,41;182;7076131400100;;;;;
