Zählliste;Position;GUT-Nummer;Bezeichnung;Menge Historie;Vorschlag R+F-Nr;Vorschlag Bezeichnung;Vorschlag EK;Vorschlag sicher;R+F-Nummer oder entfällt;Bemerkung
HZ Edelstahlsystem;9;COCIB2845KNL;CONNECT INOX HEAT Bogen 28mm 45 Grad KR 1.4307 CONEL;0;7085422280000;OptiSteel simplesta SH V Bogen 45 I/I d = 28;4,11;ja;7,08592E+12;
HZ Edelstahlsystem;5;COCIB28KNL;CONNECT INOX HEAT Bogen 28mm 90 Grad KR 1.4307 CONEL;0;7085402280000;OptiSteel simplesta SH V Bogen 90 I/I d = 28;4,08;ja;7085402280000;
HZ Edelstahlsystem;7;COCIB28ELKNL;CONNECT INOX HEAT Bogen 28mm 90 Grad KR m. eins. Einschublänge 1.4307 CONEL;0;7085402280000;OptiSteel simplesta SH V Bogen 90 I/I d = 28;4,08;ja;7085907540000;
HZ Edelstahlsystem;23;COCIM22NL;CONNECT INOX HEAT Muffe 22mm 1.4307 CONEL;0;7085473221000;HYJ OptiSteel simplesta SH V Ü-Muffe IG IG, d = 22 x Rp 1/2;5,88;ja;7085470220000;
HZ Edelstahlsystem;24;COCIM28NL;CONNECT INOX HEAT Muffe 28mm 1.4307 CONEL;0;7085470280000;OptiSteel simplesta SH V Muffe d = 28;2,75;ja;7085470280000;
HZ Edelstahlsystem;1;COCIR22NL;CONNECT INOX HEAT Rohr 22 x 1,2mm Stange 6 mtr 1.4307 CONEL;0;;;;;7085992220000;
HZ Edelstahlsystem;2;COCIR28NL;CONNECT INOX HEAT Rohr 28 x 1,2mm Stange 6 mtr 1.4307 CONEL;0;;;;;7085992280000;
HZ Edelstahlsystem;3;COCIR35NL;CONNECT INOX HEAT Rohr 35 x 1,5mm Stange 6 mtr 1.4307 CONEL;0;7085992350000;HYZ OptiSteel simplesta SH Systemrohr 1.4520, 35 x 1,50 mm Stange= 6 m;6,4;ja;7085992350000;
HZ Edelstahlsystem;14;COCIT22NL;CONNECT INOX HEAT T-Stück 22mm 1.4307 CONEL;0;7085429221000;OptiSteel simplesta SH V T-Stück IG d = 22 x Rp 1/2;6,92;ja;7085429221000;
HZ Edelstahlsystem;20;COCIT2215INL;"CONNECT INOX HEAT T-Stück 22x1/2""x22mm 1.4307 CONEL";0;7085429221000;OptiSteel simplesta SH V T-Stück IG d = 22 x Rp 1/2;6,92;ja;7085429221000;
HZ Edelstahlsystem;15;COCIT28NL;CONNECT INOX HEAT T-Stück 28mm 1.4307 CONEL;0;7085430280000;HYJ OptiSteel simplesta SH V T-Stück d = 28;6,39;mehrere ähnlich;7085430280000;
HZ Edelstahlsystem;21;COCIT2815INL;"CONNECT INOX HEAT T-Stück 28x1/2""x28mm 1.4307 CONEL";0;7085429281000;OptiSteel simplesta SH V T-Stück IG d = 28 x Rp 1/2;7,5;ja;7085429281000;
HZ Edelstahlsystem;18;COCIT3522NL;CONNECT INOX HEAT T-Stück 35x22x35mm 1.4307 CONEL;0;7085430350000;OptiSteel simplesta SH V T-Stück d = 35;9,55;mehrere ähnlich;entfällt;
HZ Edelstahlsystem;19;COCIT3528NL;CONNECT INOX HEAT T-Stück 35x28x35mm 1.4307 CONEL;0;7085430350000;OptiSteel simplesta SH V T-Stück d = 35;9,55;mehrere ähnlich;entfällt;
HZ Edelstahlsystem;31;COCIUS2225ANL;"CONNECT INOX HEAT Übergangsstück 22 x 1"" AG 1.4307 CONEL";0;7085472223000;OptiSteel simplesta SH V Übergangsstück AG, d = 22 x R 1;5,15;ja;7085472223000;
HZ Edelstahlsystem;39;COCIUS2225INL;"CONNECT INOX HEAT Übergangsstück 22 x 1"" IG 1.4307 CONEL";0;;;;;7085973223000;
HZ Edelstahlsystem;29;COCIUS2215ANL;"CONNECT INOX HEAT Übergangsstück 22 x 1/2"" AG 1.4307 CONEL";0;;;;;7085972221000;
HZ Edelstahlsystem;37;COCIUS2215INL;"CONNECT INOX HEAT Übergangsstück 22 x 1/2"" IG 1.4307 CONEL";6;;;;;7085973221000;
HZ Edelstahlsystem;30;COCIUS2220ANL;"CONNECT INOX HEAT Übergangsstück 22 x 3/4"" AG 1.4307 CONEL";0;;;;;7085972222000;
HZ Edelstahlsystem;38;COCIUS2220INL;"CONNECT INOX HEAT Übergangsstück 22 x 3/4"" IG 1.4307 CONEL";0;;;;;7085973222000;
HZ Edelstahlsystem;41;COCIUS2825INL;"CONNECT INOX HEAT Übergangsstück 28 x 1"" IG 1.4307 CONEL";0;;;;;7085973283000;
HZ Edelstahlsystem;40;COCIUS2820INL;"CONNECT INOX HEAT Übergangsstück 28 x 3/4"" IG 1.4307 CONEL";1;;;;;7085973282000;
HZ Edelstahlsystem;42;COCIUS2832INL;"CONNECT INOX HEAT Übergangsstück 28x1 1/4"" IG 1.4307 CONEL";0;;;;;7085973284000;
HZ Edelstahlsystem;43;COCIUS3525INL;"CONNECT INOX HEAT Übergangsstück 35 x 1"" IG 1.4307 CONEL";1;;;;;7085973353000;
HZ Edelstahlsystem;36;COCIUS3532ANL;"CONNECT INOX HEAT Übergangsstück 35x1 1/4"" AG 1.4307 CONEL";12;;;;;7085972353000;
HZ Edelstahlsystem;44;COCIUS3532INL;"CONNECT INOX HEAT Übergangsstück 35x1 1/4"" IG 1.4307 CONEL";0;;;;;7085973354000;
HT Rohr & Zubehör, Tauchhülsen, Rohrschellen und Befestigungsmaterial;12;CSBLTH100;COSMO Tauchhülse DN15 L=100mm Messing vernickelt;2;;;;;entfällt;
